nombre,categoria,kcal_100g,proteina_100g,carbos_100g,grasa_100g,precio_kg,unidad_por_defecto,gramos_por_unidad
"Cereales de desayuno con base de avena",cereal_pan,349,13.8,54.4,7.2,,gramos,
"Canónigos",verdura,25.9,1.8,3.1,0.7,,gramos,
"Cacahuete con cáscara",fruto_seco,633,22.9,9.7,52.9,,gramos,
"Tahine",fruta,642,17.4,21.5,53,,gramos,
"Zumo de naranja",fruta,33.1,0.4,6.1,0.29,,gramos,
"Yogur de soja",lacteo,90,2.4,17.1,1.2,,gramos,
"Leche fermentada con lactobacillus casei de sabores 1",lacteo,0.08,2.6,0.2,107,,gramos,
"Sardina con salsa de tomate",pescado,184,27.5,2,7.3,,gramos,
"Huevo de codorniz",huevo,85.8,16.3,2,1.4,,gramos,
"Huevo de gallina",huevo,0.11,0.12,51.2,56.2,,gramos,
"Yema de huevo",huevo,0.16,0.25,80,63,,gramos,
"Cacao en polvo azucarado",otros,0.003,0.16,5,5.9,,gramos,
"Chocolate blanco",otros,0.05,0.08,9,145,,gramos,
"Chocolate con leche y almendra",fruto_seco,0.07,0.06,9,106,,gramos,
"Chocolate puro",otros,0.06,0.02,10,121,,gramos,
"Trufa de chocolate",otros,0.076,0.01,107,140,,gramos,
"Zumo de tomate comercial",bebida,0,0,2.6,0.009,,gramos,
"Zumo de uva",bebida,0,0,16.6,0.004,,gramos,
"Zumo de zanahoria",bebida,0,0,4.8,0.004,,gramos,
"Zumo uva y melocotón",bebida,0,0,12,0.057,,gramos,
"Agua de coco",bebida,0,0,2.6,0.008,,gramos,
"Bebida de almendras",fruto_seco,0,0,3,0,,gramos,
"Bebida de alpiste",bebida,0,0,3.3,0.45,,gramos,
"Bebida de avena",bebida,0,5.6,3.1,0.4,,gramos,
"Horchata",bebida,0,3.1,13.9,1.9,,gramos,
"Leche de arroz enriquecida en calcio, vitamina A y",bebida,0,3.8,5.3,0.63,,gramos,
"Leche de coco",bebida,0,0,3.3,1,,gramos,
"Leche de arroz enriquecida en calcio, vitamina A y D 1 0,027 0,14 0,39 0,039 2",bebida,0,118,56,39,,gramos,
"Sidra",bebida,240,0,2,0,,gramos,
"Canelones de carne congelados",otros,129,6.2,12.8,5.4,,gramos,
"Carne empanada, pasteles de carne (congelados) 1",otros,47.8,12,11.5,4.8,,gramos,
"Aceituna rellena de pimiento",otros,169,1.2,3.8,16,,gramos,
"Gusanitos con queso",otros,539,7,55,31,,gramos,
"Eneldo seco",otros,291,9.7,44.4,3.3,,gramos,
"Guindilla picante",otros,316,20,42.2,4.4,,gramos,
"Vainilla",otros,369,9.1,57.1,7.4,,gramos,
"Barrita hipocalórica",otros,473,22,42,22.9,,gramos,
"Stevia",otros,0,0,100,0,,gramos,
"Papilla de cereales y frutas (polvo)",otros,379,6,85.8,1.3,,gramos,
"Papilla de cereales y miel con leche (polvo)",otros,421,13,72.4,8.8,,gramos,
"Papilla de cereales, frutas y yogur con leche",otros,418,12.6,71,9.3,,gramos,
"Papilla sin gluten y frutas con leche (polvo)",otros,422,15.2,70.8,8.7,,gramos,
