nombre,categoria,kcal_100g,proteina_100g,carbos_100g,grasa_100g,precio_kg,unidad_por_defecto,gramos_por_unidad
"Arroz",cereal_pan,349,6.9,78.2,0.6,,gramos,
"Arroz integral",cereal_pan,350,7.3,74.1,2.2,,gramos,
"Avena",cereal_pan,356,14.7,68.7,1.1,,gramos,
"Cebada",cereal_pan,353,11.7,55.7,7.1,,gramos,
"Fécula de maíz",cereal_pan,344,12.3,64.5,1.3,,gramos,
"Gofio canario, tostado",cereal_pan,330,9.9,62.1,1.2,,gramos,
"Harina de centeno",cereal_pan,372,14.8,65.2,2.5,,gramos,
"Harina de trigo",cereal_pan,356,0.41,88,0.08,,gramos,
"Maíz en grano hervido en lata",cereal_pan,355,28.6,30.6,9.2,,gramos,
"Maíz en mazorca hervido",cereal_pan,356,10.1,64.8,2.7,,gramos,
"Polenta cocinada",cereal_pan,349,7.6,78,0.7,,gramos,
"Quinoa",cereal_pan,326,10,59.7,1.9,,gramos,
"Salvado de trigo",cereal_pan,274,15.6,21.7,4.3,,gramos,
"Sémola de trigo",cereal_pan,351,12.7,69,1.1,,gramos,
"Barrita de cereales con frutas rojas",cereal_pan,392,8,78,5,,gramos,
"Barrita de cereales con melocotón y albaricoque",cereal_pan,403,7,77,7,,gramos,
"Barrita de cereales con pepitas de chocolate",cereal_pan,350,9,62,7,,gramos,
"Barrita de cereales integrales",cereal_pan,393,8,76,6,,gramos,
"Barrita de fibra y chocolate",cereal_pan,414,7,51,16,,gramos,
"Bizcocho de fruta y fibra",cereal_pan,383,4,58,13,,gramos,
"Cereales de desayuno con base de arroz",cereal_pan,388,7,86,1.5,,gramos,
"Cereales de desayuno con base de arroz y chocolate",cereal_pan,388,5,85,2.5,,gramos,
"Cereales de desayuno con base de arroz y trigo integral",cereal_pan,375,16,74,1,,gramos,
"Cereales de desayuno con base de arroz, trigo integral, frutas rojas",cereal_pan,390,14,79.5,1,,gramos,
"Cereales de desayuno con base de avena integral tostada y miel",cereal_pan,388,8.6,75,4.9,,gramos,
"Cereales de desayuno con base de maíz",cereal_pan,376,8,83,0.8,,gramos,
"Cereales de desayuno con base de maíz azucarados",cereal_pan,361,4.5,83.7,0.6,,gramos,
"Cereales de desayuno con base de maíz, avena y trigo, dorados con",cereal_pan,377,6,80.6,3,,gramos,
"Cereales de desayuno con base de trigo integral con avellanas y",fruto_seco,380,10,65,6,,gramos,
"Cereales de desayuno con base de trigo y chocolate",cereal_pan,364,8,75,2.5,,gramos,
"Cereales de desayuno con base de trigo y frutas",cereal_pan,348,10,65,2,,gramos,
"Cereales de desayuno con base de trigo y miel",cereal_pan,387,7,84,1.7,,gramos,
"Cereales de desayuno de trigo integral relleno de pasas",cereal_pan,358,9,71.5,2,,gramos,
"Cereales de desayuno rellenos de chocolate",cereal_pan,436,7.5,66.6,14,,gramos,
"Cereales de desayuno salvado de trigo completo",cereal_pan,338,13,48,4,,gramos,
"Cereales de desayuno variados con miel",cereal_pan,379,5.5,80.7,3,,gramos,
"Cereales (almohadillas ricas en fibra)",cereal_pan,382,8,77,3.1,,gramos,
"Cereales en polvo solubles tipo ""Eko""",cereal_pan,408,7.5,63,14,,gramos,
"Malta",cereal_pan,356,10,67,2,,gramos,
"Snacks bajos en calorías de chocolate",cereal_pan,343,5.7,73.7,0.42,,gramos,
"Tortita de arroz integral",cereal_pan,343,5.7,73.7,0.4,,gramos,
"Tortita de maíz",cereal_pan,365,11.2,73.1,2.1,,gramos,
"Masa de hojaldre congelada",cereal_pan,332,9,50,10,,gramos,
"Pan blanco",cereal_pan,371,8.5,75,3.5,,gramos,
"Pan blanco tipo baguette",cereal_pan,394,8.6,80.3,3.2,,gramos,
"Pan blanco tostado sin sal",cereal_pan,369,7.5,76.5,2.5,,gramos,
"Pan de cebada",cereal_pan,384,8.1,81.5,2.4,,gramos,
"Pan de molde",cereal_pan,414,11.2,77.7,6.2,,gramos,
"Pan de molde integral",cereal_pan,239,10,40,3,,gramos,
"Pan de perrito",cereal_pan,269,8.3,49.6,3,,gramos,
"Pan de trigo y centeno",cereal_pan,271,7.5,47.5,4.7,,gramos,
"Pan fajitas",cereal_pan,274,9.1,55.7,1.2,,gramos,
"Pan integral tostado",cereal_pan,243,6.7,49,1,,gramos,
"Pan tipo hamburguesa",cereal_pan,268,10.8,49.7,2.4,,gramos,
"Panecillos hechos con aceite de oliva",cereal_pan,315,8.6,53,6.4,,gramos,
"Cuscús",cereal_pan,385,13,62,7,,gramos,
"Pasta al huevo",cereal_pan,242,4.3,42.3,5.2,,gramos,
"Pasta fresca cocida",cereal_pan,271,7.5,47.5,4.7,,gramos,
